,,,,,,,,
,Assaults,,,,,,,
,Left Arm,2 Ballistic (Available Actuators: Upper),1 Ballistic (Available Actuators: Upper),2 Energy (Available Actuators: Upper),1 Ballistic (Available Actuators: Upper),2 Missile (Available Actuators: Upper),2 Energy (Available Actuators: Upper),
,Left Torso,1 Missile,1 Missile,1 Energy,3 Energy,,1 Ballistic,
,Center Torso,,,1 Energy,,1 Energy,1 Energy,
,Right Torso,1 Missile,1 Missile,1 Energy,"2 Ballistic, 1 Energy, 1 Missile",,1 Ballistic,
,Right Arm,2 Energy (Available Actuators: Upper),1 Ballistic (Available Actuators: Upper),2 Energy (Available Actuators: Upper),2 Energy (Available Actuators: Upper),2 Missile (Available Actuators: Upper),1 Energy (Available Actuators: Upper),
,,,,,,,,
,,,,,,,,
,Kingfisher,Kingfisher Prime,Kingfischer A,Kingfischer B,Kingfischer C,Kingfischer D,Kingfischer H,Kingfischer E
,Overview,http://cfw.sarna.net/wiki/images/b/bf/Kingfisher.jpg,,,,,,
,Type,Omnimech,Omnimech,Omnimech,Omnimech,Omnimech,Omnimech,Omnimech
,Tonnage,90,90,90,90,90,90,90
,Engine,360 Standard,360 Standard,360 Standard,360 Standard,360 Standard,360 Standard,360 Standard
,Top Speed,64.8 kph,64.8 kph,64.8 kph,64.8 kph,64.8 kph,64.8 kph,64.8 kph
,Armor,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous
,Internal Structure,Endo-Steel,Endo-Steel,Endo-Steel,Endo-Steel,Endo-Steel,Endo-Steel,Endo-Steel
,Heat Sinks,17 Double,17 Double,17 Double,25 Double,17 Double,17 Double,26 Double
,Jump Jets,No,No,No,No,No,No,No
,ECM Capable,No,No,No,No,No,No,No
,MASC Capable,No,No,No,No,No,No,No
,Weapons and Equipment,,,,,,,
,Head,*Fixed Armor Slot*,*Fixed Armor Slot*,*Fixed Armor Slot*,*Fixed Armor Slot*,*Fixed Armor Slot*,*Fixed Armor Slot*,*Fixed Armor Slot*
,Left Arm,"ER Small Laser, Streak SRM-6, Streak Ammo",Medium Pulse Laser x2,"ER Large Laser, ER Medium Laser, ER Small Laser","ER PPC, ER Medium Laser, Double Heat Sink x2",ER Large Laser x2,ATM-12,"Heavy Large Laser, Targeting Computer, Double Heat Sink x2"
,Left Torso,"LRM-10, Medium Pulse Laser, LRM Ammo, *Fixed Structure Slots x4, Fixed Armor Slots x3*","SRM-6, SRM Ammo, *Fixed Structure Slots x4, Fixed Armor Slots x3*","ER Medium Laser x2, *Fixed Structure Slots x4, Fixed Armor Slots x3*","Double Heat Sink x2, *Fixed Structure Slots x4, Fixed Armor Slots x3*","*Fixed Structure Slots x4, Fixed Armor Slots x3*","Medium Pulse Laser, ATM Ammo x3, *Fixed Structure Slots x4, Fixed Armor Slots x3*","ER Medium Laser, Double Heat Sink x2, *Fixed Structure Slots x4, Fixed Armor Slots x3*"
,Center Torso,"*Engine*, Large Pulse Laser","*Engine*, ER PPC","*Engine*, AMS, AMS Ammo","*Engine*, ER Medium Laser x2","*Engine*, ER Large Laser","*Engine*, Medium Pulse Laser x2","*Engine*, ER Medium Laser x2"
,Right Torso,"Medium Pulse Laser, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","ER Small Laser, LBX Ammo x2, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","ER Medium Laser, UAC Ammo x2, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","Double Heat Sink x2, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","UAC Ammo x2, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","Medium Pulse Laser, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*","Double Heat Sink x2, *Fixed Structure Slots x3, Fixed Armor Slots x3, Fixed Double Heat Sink*"
,Right Arm,Large Pulse Laser,LB 10-X AC,Ultra AC/20,"ER PPC, ER Medium Laser, Double Heat Sink x2",Ultra AC/10,Large Pulse Laser,"Heavy Large Laser,  ER Medium Laser, Double Heat Sink x3"
,Left Leg,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*
,Right Leg,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*,*Fixed Double Heat Sink*
,Omnipods,,,,,,,
,Head,,,,,,,
,Left Arm,"1 Energy, 1 Missile (Available Actuators: Upper, Lower)","2 Energy (Available Actuators: Upper, Lower)","3 Energy (Available Actuators: Upper, Lower)",2 Energy (Available Actuators: Upper),"2 Energy (Available Actuators: Upper, Lower)","1 Missile (Available Actuators: Upper, Lower)",1 Energy (Available Actuators: Upper)
,Left Torso,"1 Energy, 1 Missile",1 Missile,2 Energy,,,1 Energy,1 Energy
,Center Torso,1 Energy,1 Energy,1 AMS,2 Energy,1 Energy,2 Energy,2 Energy
,Right Torso,1 Energy,1 Energy,1 Energy,,,1 Energy,
,Right Arm,"1 Energy (Available Actuators: Upper, Lower)",1 Ballistic (Available Actuators: Upper),1 Ballistic (Available Actuators: Upper),2 Energy (Available Actuators: Upper),1 Ballistic (Available Actuators: Upper),"1 Energy (Available Actuators: Upper, Lower)",2 Energy (Available Actuators: Upper)
,,,,,,,,
,,,,,,,,
,Phoenix Hawk IIC,PXH-IIC-1,PXH-IIC-2,PXH-IIC-3,PXH-IIC-4,,,
,Overview,http://cfw.sarna.net/wiki/images/9/9f/Phoenix_Hawk_IIC_3.jpg,http://www.sarna.net/wiki/Phoenix_Hawk_IIC,,,,,
,Type,Battlemech,Battlemech,Battlemech,Battlemech,,,
,Tonnage,80,80,80,80,,,
,Engine,400 XL,400 XL,400 XL,400 XL,,,
,Top Speed,81 kph,81 kph,81 kph,81 kph,,,
,Max. Engine,400,400,400,400,,,
,Armor,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,Ferro-Fibrous,,,
,Internal Structure,Endo-Steel,Endo-Steel,Endo-Steel,Endo-Steel,,,
,Heat Sinks,10 Double,10 Double,22 Double,10 Double,,,
,Jump Jets,5,5,5,5,,,
,ECM Capable,No,No,No,No,,,
,MASC Capable,No,No,No,No,,,
,Weapons and Equipment,,,,,,,
,Head,Machine Gun,,,,,,
,Left Arm,,LRM Ammo x4,Double Heat Sink x2,ATM Ammo x3,,,
,Left Torso,"Ultra AC/10, UAC Ammo x3, MG Ammo x0.5, Jump Jet x2","LRM-20 x2, Jump Jet x2","Heavy Large Laser, Small Pulse Laser, Double Heat Sink x2, Jump Jet x2","ATM-9 x2, Jump Jet x2",,,
,Center Torso,"Engine, Machine Gun, Jump Jet","Engine, Jump Jet","Engine, Medium Pulse Laser, Jump Jet","Engine, Jump Jet, ATM Ammo",,,
,Right Torso,"Ultra AC/10, UAC Ammo x3, Jump Jet x2","LRM-20 x2, Jump Jet x2","Heavy Large Laser, Small Pulse Laser, Targeting Computer, Jump Jet x2","ATM-9 x2, Jump Jet x2",,,
,Right Arm,,LRM Ammo x4,Double Heat Sink x2,ATM Ammo x3,,,
,Left Leg,,,,,,,
,Right Leg,,,,,,,
,Hardpoints,,,,,,,
,Head,1 Ballistic,,,,,,
,Left Arm,"(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)",,,
,Left Torso,2(1) Ballistic,3(2) Missile,3(2) Energy,4(2) Missile (12/9/6/3 tubes),,,
,Center Torso,1 Ballistic,,1 Energy,,,,
,Right Torso,2(1) Ballistic,3(2) Missile,3(2) Energy,4(2) Missile (12/9/6/3 tubes),,,
,Right Arm,"(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)","(Available Actuators: Upper, Lower, Hand)",,,
